laptop,os,processor,python,hero,buff,algoritma,reached_lv4,total_time_s,total_xp,level_akhir,turtle_status,states,exec_avg_ms,exec_std_ms,exec_min_ms,exec_max_ms,repetitions
Fariez,Windows 10,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.11.9,Lancelot,Blue,greedy,Ya,101.9s,1090,4,AMAN,0,85.04,10.88,79.05,138.63,30
Fariez,Windows 10,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.11.9,Lancelot,Blue,backtracking,Ya,96.3s,1000,4,AMAN,612,110.42,1.72,107.63,114.88,30
Fariez,Windows 10,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.11.9,Lancelot,Blue,hybrid,Ya,95.7s,1040,4,AMAN,104,94.15,1.57,91.63,98.04,30
Fariez,Windows 10,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.11.9,Lancelot,Red,greedy,Ya,101.0s,1090,4,AMAN,0,82.05,1.71,78.9,86.85,30
Fariez,Windows 10,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.11.9,Lancelot,Red,backtracking,Ya,98.3s,1000,4,AMAN,522,112.04,2.01,108.57,117.14,30
Fariez,Windows 10,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.11.9,Lancelot,Red,hybrid,Ya,98.3s,1000,4,AMAN,100,98.89,9.93,92.97,138.22,30
Fariez,Windows 10,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.11.9,Suyou,Blue,greedy,Ya,99.7s,1090,4,AMAN,0,90.61,8.49,82.81,118.31,30
Fariez,Windows 10,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.11.9,Suyou,Blue,backtracking,Ya,93.8s,1000,4,AMAN,684,117.22,2.21,113.83,124.2,30
Fariez,Windows 10,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.11.9,Suyou,Blue,hybrid,Ya,93.8s,1000,4,AMAN,88,98.95,3.32,91.86,106.66,30
Fariez,Windows 10,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.11.9,Suyou,Red,greedy,Ya,99.6s,1090,4,AMAN,0,87.83,6.63,84.52,120.37,30
Fariez,Windows 10,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.11.9,Suyou,Red,backtracking,Ya,96.8s,1000,4,AMAN,560,119.91,2.92,116.28,131.78,30
Fariez,Windows 10,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.11.9,Suyou,Red,hybrid,Ya,96.8s,1000,4,AMAN,95,99.35,4.81,95.62,121.21,30
Fariez,Windows 10,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.11.9,Hayabusa,Blue,greedy,Ya,104.1s,1090,4,AMAN,0,87.57,1.64,84.82,90.63,30
Fariez,Windows 10,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.11.9,Hayabusa,Blue,backtracking,Ya,96.4s,1000,4,AMAN,600,118.65,2.37,114.3,125.88,30
Fariez,Windows 10,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.11.9,Hayabusa,Blue,hybrid,Ya,96.4s,1000,4,AMAN,117,103.33,1.83,101.11,107.8,30
Fariez,Windows 10,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.11.9,Hayabusa,Red,greedy,Ya,101.1s,1090,4,AMAN,0,92.59,10.54,87.07,146.2,30
Fariez,Windows 10,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.11.9,Hayabusa,Red,backtracking,Ya,95.4s,1000,4,AMAN,560,121.13,4.38,116.53,137.8,30
Fariez,Windows 10,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.11.9,Hayabusa,Red,hybrid,Ya,95.4s,1000,4,AMAN,96,102.18,2.33,98.52,108.02,30
Fariez,Windows 10,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.11.9,Yi Sun Shin,Blue,greedy,Ya,103.7s,1090,4,AMAN,0,93.54,6.31,88.75,120.89,30
Fariez,Windows 10,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.11.9,Yi Sun Shin,Blue,backtracking,Ya,95.0s,1000,4,AMAN,602,123.56,2.56,120.38,132.92,30
Fariez,Windows 10,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.11.9,Yi Sun Shin,Blue,hybrid,Ya,95.0s,1000,4,AMAN,109,105.71,1.46,103.18,109.11,30
Fariez,Windows 10,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.11.9,Yi Sun Shin,Red,greedy,Ya,99.6s,1090,4,AMAN,0,94.08,3.96,89.5,110.55,30
Fariez,Windows 10,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.11.9,Yi Sun Shin,Red,backtracking,Ya,95.0s,1000,4,AMAN,562,126.39,9.47,120.66,173.81,30
Fariez,Windows 10,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.11.9,Yi Sun Shin,Red,hybrid,Ya,95.0s,1000,4,AMAN,85,104.33,2.3,101.03,109.88,30
Fariez,Windows 10,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.11.9,Fredrinn,Blue,greedy,Ya,112.8s,1090,4,AMAN,0,95.22,2.53,90.91,103.74,30
Fariez,Windows 10,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.11.9,Fredrinn,Blue,backtracking,Ya,98.7s,1000,4,AMAN,404,130.24,2.54,126.15,137.19,30
Fariez,Windows 10,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.11.9,Fredrinn,Blue,hybrid,Ya,98.7s,1000,4,AMAN,117,115.56,6.34,109.64,139.93,30
Fariez,Windows 10,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.11.9,Fredrinn,Red,greedy,Ya,107.5s,1090,4,AMAN,0,96.55,2.05,91.69,100.62,30
Fariez,Windows 10,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.11.9,Fredrinn,Red,backtracking,Ya,100.7s,1000,4,AMAN,402,131.07,3.2,126.68,138.41,30
Fariez,Windows 10,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.11.9,Fredrinn,Red,hybrid,Ya,100.7s,1000,4,AMAN,110,113.48,2.64,109.06,122.01,30
