laptop,os,processor,python,hero,buff,algoritma,reached_lv4,total_time_s,total_xp,level_akhir,turtle_status,states,exec_avg_ms,exec_std_ms,exec_min_ms,exec_max_ms,repetitions
Fadhlan,Windows 10,"Intel64 Family 6 Model 94 Stepping 3, GenuineIntel",3.12.10,Lancelot,Blue,greedy,Ya,101.9s,1090,4,AMAN,0,156.35,20.65,132.97,202.36,30
Fadhlan,Windows 10,"Intel64 Family 6 Model 94 Stepping 3, GenuineIntel",3.12.10,Lancelot,Blue,backtracking,Ya,96.3s,1000,4,AMAN,612,184.62,15.7,167.22,251.35,30
Fadhlan,Windows 10,"Intel64 Family 6 Model 94 Stepping 3, GenuineIntel",3.12.10,Lancelot,Blue,hybrid,Ya,95.7s,1040,4,AMAN,104,160.77,20.24,142.45,241.0,30
Fadhlan,Windows 10,"Intel64 Family 6 Model 94 Stepping 3, GenuineIntel",3.12.10,Lancelot,Red,greedy,Ya,101.0s,1090,4,AMAN,0,138.83,6.88,126.94,156.28,30
Fadhlan,Windows 10,"Intel64 Family 6 Model 94 Stepping 3, GenuineIntel",3.12.10,Lancelot,Red,backtracking,Ya,98.3s,1000,4,AMAN,522,189.78,19.13,170.63,280.19,30
Fadhlan,Windows 10,"Intel64 Family 6 Model 94 Stepping 3, GenuineIntel",3.12.10,Lancelot,Red,hybrid,Ya,98.3s,1000,4,AMAN,100,148.02,5.7,140.86,164.25,30
Fadhlan,Windows 10,"Intel64 Family 6 Model 94 Stepping 3, GenuineIntel",3.12.10,Suyou,Blue,greedy,Ya,99.7s,1090,4,AMAN,0,141.34,9.16,128.6,172.8,30
Fadhlan,Windows 10,"Intel64 Family 6 Model 94 Stepping 3, GenuineIntel",3.12.10,Suyou,Blue,backtracking,Ya,93.8s,1000,4,AMAN,684,191.65,18.13,172.48,263.16,30
Fadhlan,Windows 10,"Intel64 Family 6 Model 94 Stepping 3, GenuineIntel",3.12.10,Suyou,Blue,hybrid,Ya,93.8s,1000,4,AMAN,88,155.91,14.58,141.66,223.88,30
Fadhlan,Windows 10,"Intel64 Family 6 Model 94 Stepping 3, GenuineIntel",3.12.10,Suyou,Red,greedy,Ya,99.6s,1090,4,AMAN,0,140.48,10.54,128.0,180.81,30
Fadhlan,Windows 10,"Intel64 Family 6 Model 94 Stepping 3, GenuineIntel",3.12.10,Suyou,Red,backtracking,Ya,96.8s,1000,4,AMAN,560,191.73,17.51,177.7,272.69,30
Fadhlan,Windows 10,"Intel64 Family 6 Model 94 Stepping 3, GenuineIntel",3.12.10,Suyou,Red,hybrid,Ya,96.8s,1000,4,AMAN,95,155.25,10.32,142.14,198.24,30
Fadhlan,Windows 10,"Intel64 Family 6 Model 94 Stepping 3, GenuineIntel",3.12.10,Hayabusa,Blue,greedy,Ya,104.1s,1090,4,AMAN,0,140.25,16.21,127.29,210.72,30
Fadhlan,Windows 10,"Intel64 Family 6 Model 94 Stepping 3, GenuineIntel",3.12.10,Hayabusa,Blue,backtracking,Ya,96.4s,1000,4,AMAN,600,175.99,5.9,166.91,195.38,30
Fadhlan,Windows 10,"Intel64 Family 6 Model 94 Stepping 3, GenuineIntel",3.12.10,Hayabusa,Blue,hybrid,Ya,96.4s,1000,4,AMAN,117,153.01,8.22,143.41,175.15,30
